price,age,landValue,livingArea,bedrooms,bathrooms,rooms,heating,fuel,waterfront,newConstruction,centralAir
132500,42,50000,906,2,1,5,electric,electric,No,No,No
181115,0,22300,1953,3,2.5,6,hot water/steam,gas,No,No,No
109000,133,7300,1944,4,1,8,hot water/steam,gas,No,No,No
155000,13,18700,1944,3,1.5,5,hot air,gas,No,No,No
86060,0,15000,840,2,1,3,hot air,gas,No,Yes,Yes
120000,31,14000,1152,4,1,8,hot air,gas,No,No,No
153000,33,23300,2752,4,1.5,8,hot water/steam,oil,No,No,No
170000,23,14600,1662,4,1.5,9,hot air,oil,No,No,No
90000,36,22200,1632,3,1.5,8,electric,electric,No,No,No
122900,4,21200,1416,3,1.5,6,hot air,gas,No,No,No
325000,123,12600,2894,7,1,12,hot air,oil,No,No,No
120000,1,22300,1624,3,2,6,hot air,gas,No,No,No
85860,13,4800,704,2,1,4,electric,electric,No,No,No
97000,153,3100,1383,3,2,5,hot water/steam,gas,No,No,No
127000,9,300,1300,3,1.5,8,hot air,oil,No,No,No
89900,88,2500,936,3,1,4,hot water/steam,gas,No,No,No
155000,9,300,1300,3,1.5,7,hot air,oil,No,No,No
253750,0,49800,2816,4,2.5,12,hot air,gas,No,No,Yes
60000,82,8500,924,2,1,6,hot water/steam,oil,No,No,No
87500,17,19400,1092,3,1,6,hot air,oil,No,No,No
112000,12,8600,1056,3,1,7,electric,electric,No,No,No
104900,21,5600,1600,3,1.5,4,electric,electric,No,No,No
148635,1,6200,1576,3,2.5,7,hot air,gas,No,Yes,Yes
150000,24,5100,2080,3,2,6,hot air,oil,No,No,No
90400,16,5200,1600,3,1.5,4,electric,electric,No,No,No
248800,28,5500,2224,4,3,10,hot air,oil,No,No,No
135000,126,6000,1656,3,1,6,hot water/steam,oil,No,No,No
145000,26,4500,1170,4,1.5,5,hot air,oil,No,No,No
457000,53,2700,2461,4,2,10,hot air,oil,Yes,No,No
140000,56,19400,1544,3,1.5,7,hot air,oil,No,No,Yes
130000,51,24800,1220,2,1,4,hot water/steam,oil,No,No,No
187000,3,15200,1858,3,2.5,7,hot air,gas,No,No,No
229000,9,41100,2219,3,2,8,hot air,gas,No,No,No
227000,201,25500,1876,3,2.5,5,hot air,oil,No,No,No
179900,1,15200,2026,4,2.5,6,hot air,gas,No,No,No
169900,19,20200,1671,4,3,8,hot air,gas,No,No,Yes
209900,1,15200,2060,4,2.5,7,hot air,gas,No,No,No
169900,0,17300,1884,4,2.5,9,hot air,gas,No,No,No
293000,43,36600,2022,4,3,6,hot water/steam,gas,No,No,No
245900,0,20700,2394,4,2.5,7,hot air,gas,No,No,Yes
157000,45,20200,1390,3,1.5,6,hot air,gas,No,No,No
195000,32,27100,1954,4,2.5,8,hot air,gas,No,No,Yes
150000,54,24500,1554,3,1.5,5,hot air,oil,No,No,Yes
234900,9,41600,1976,3,2.5,6,hot air,gas,No,No,Yes
279550,0,44400,2479,4,2.5,10,hot air,gas,No,No,No
246500,0,17100,2714,4,2.5,9,hot air,gas,No,No,No
124000,98,15500,797,2,1,3,hot air,oil,No,No,No
138000,54,8900,1500,3,2.5,7,hot water/steam,gas,No,No,No
290000,73,61000,1838,4,2,8,hot air,oil,Yes,No,No
108000,48,19000,1042,2,2,3,hot air,gas,No,No,No
134900,10,8000,1782,3,2.5,6,hot air,gas,No,No,Yes
64500,16,1600,1480,2,2.5,5,hot air,gas,No,No,No
142000,20,13800,1426,3,2,6,hot air,gas,No,No,No
125000,32,11100,1404,3,2,5,hot air,gas,No,No,No
88000,15,3400,1480,3,1.5,5,hot water/steam,gas,No,No,Yes
135000,135,8100,1344,3,1,5,hot water/steam,gas,No,No,No
90000,14,1800,1480,2,2.5,5,hot air,gas,No,No,Yes
90100,15,2400,1480,3,1.5,7,hot water/steam,gas,No,No,No
126900,10,8400,1596,3,2.5,6,hot air,gas,No,No,No
175000,15,27200,1768,3,2,5,electric,electric,No,No,No
158000,10,12100,1348,2,2,3,hot air,gas,No,No,Yes
92000,14,1800,1480,3,1.5,8,hot air,gas,No,No,No
82800,225,3900,1483,3,1,7,hot air,gas,No,No,No
140000,25,8300,1576,4,1.5,5,hot air,gas,No,No,Yes
171000,15,24100,1008,2,1,7,electric,electric,No,No,No
200640,0,32000,2332,4,2.5,9,hot air,gas,No,Yes,No
139000,30,7500,1064,3,1,5,hot air,oil,No,No,No
225000,12,15300,2428,4,2.5,11,hot air,gas,No,No,Yes
182000,16,26600,1310,3,2,7,electric,electric,No,No,No
208767,0,32000,1662,3,2,7,hot air,gas,No,Yes,Yes
186000,0,4400,2000,4,2.5,7,hot air,gas,No,Yes,No
93000,14,2600,1480,3,1.5,6,hot air,gas,No,No,No
257386,0,32000,2969,4,4,10,hot air,gas,No,Yes,Yes
161000,10,10400,1542,3,2.5,5,hot air,gas,No,No,Yes
92000,18,6300,1527,4,2,7,hot air,oil,No,No,No
211002,0,32000,2195,4,2.5,8,hot air,gas,No,Yes,No
115000,14,1600,1480,3,1.5,6,hot air,gas,No,No,No
113000,53,9200,1452,3,2,7,hot water/steam,oil,No,No,Yes
216300,0,32000,2360,4,2.5,10,hot air,gas,No,Yes,No
145000,32,19000,1440,3,1,8,hot air,oil,No,No,No
114000,14,1600,1480,2,2.5,5,hot air,electric,No,No,No
139050,125,7300,1879,3,2.5,6,hot air,gas,No,No,No
104000,14,1600,1480,3,1.5,6,hot air,gas,No,No,No
169900,11,8700,1792,3,2.5,8,hot air,gas,No,No,No
177900,2,25000,1386,3,2.5,5,hot air,gas,No,No,No
133000,14,10300,1676,2,2,3,hot air,electric,No,No,Yes
185000,0,4000,768,4,2,9,hot air,gas,No,No,No
115000,16,10000,1560,3,1.5,8,electric,electric,No,No,Yes
100000,91,5000,1000,3,1,6,hot air,oil,No,No,No
117000,15,18900,1676,4,1.5,9,electric,electric,No,No,No
150000,11,19400,1656,3,1.5,6,electric,electric,No,No,No
187500,11,20600,2300,3,1.5,7,electric,electric,No,No,No
107000,25,18700,1712,3,1,6,hot air,gas,No,No,No
126900,26,18700,1350,3,1.5,5,hot air,gas,No,No,No
147000,15,18900,1676,3,2.5,6,hot air,gas,No,No,No
62000,103,10500,1317,3,1.5,7,hot water/steam,gas,No,No,No
101000,30,8700,1056,3,2,8,hot air,gas,No,No,No
143500,13,19900,912,3,1,7,hot air,gas,No,No,No
113400,18,4500,1232,2,2,3,electric,electric,No,No,No
76320,68,2000,1380,3,1,5,hot air,gas,No,No,No
110000,10,3100,936,3,1,6,hot air,gas,No,No,Yes
88000,49,3400,720,3,1,4,hot air,gas,No,No,No
108000,30,6500,1628,2,1.5,4,hot water/steam,oil,No,No,No
114900,41,5000,1144,3,1.5,6,hot air,gas,No,No,No
146000,2,3000,1827,3,2.5,9,hot air,gas,No,No,No
225000,8,3300,1784,3,2,6,hot water/steam,oil,No,No,No
138000,16,3700,1851,3,2.5,8,hot air,gas,No,No,Yes
218070,0,3500,2194,4,2.5,8,hot water/steam,gas,No,Yes,No
25000,75,900,920,2,1,6,hot air,oil,No,No,No
112000,36,3800,1280,3,1,5,hot water/steam,gas,No,No,No
112500,43,4600,1232,3,1,5,electric,electric,No,No,No
97000,45,3600,1406,3,1.5,6,hot water/steam,gas,No,No,No
121000,6,2500,1164,3,2,5,hot air,gas,No,No,No
65720,123,2100,1198,3,1,5,hot water/steam,gas,No,No,No
225000,10,6600,2206,4,2.5,8,hot air,gas,No,No,Yes
192000,0,5000,1880,3,2.5,9,hot air,gas,No,Yes,Yes
158500,6,3400,1368,3,1.5,8,hot air,oil,No,No,No
247000,16,6000,1901,3,2.5,5,hot air,gas,No,No,Yes
193777,11,3200,1547,3,2,8,hot air,gas,No,No,No
136500,12,5400,896,3,2,5,hot air,gas,No,No,No
75000,45,8000,1008,3,1,7,hot air,gas,No,No,No
